Airport_ID	Type	Name	Latitude_Deg	Longitude_Deg	Iata_Code	Airport_Radius
223	heliport	Shannon Medical Center Heliport	31.4658	-100.43397	0	[(31.490755198592844, -100.43397), (31.48491679120898, -100.4151636727256), (31.470133424758966, -100.40515703499193), (31.453322400703584, -100.40863230380597), (31.442349784032064, -100.42396336226633), (31.442349784032064, -100.44397663773367), (31.453322400703584, -100.45930769619403), (31.470133424758966, -100.46278296500807), (31.48491679120898, -100.4527763272744), (31.490755198592844, -100.43397)]
230	heliport	Del Sol Medical Center Heliport	31.7574	-106.346895	0	[(31.782355198592843, -106.346895), (31.776516791208977, -106.32802967072107), (31.761733424758965, -106.31799163867653), (31.744922400703583, -106.32147781062032), (31.73394978403206, -106.33685696795546), (31.73394978403206, -106.35693303204454), (31.744922400703583, -106.37231218937967), (31.761733424758965, -106.37579836132346), (31.776516791208977, -106.36576032927894), (31.782355198592843, -106.346895)]
235	heliport	Saline Memorial Hospital Heliport	34.574319	-92.586047	0	[(34.599274198592845, -92.586047), (34.59343579120898, -92.56656549452049), (34.57865242475897, -92.55619960196768), (34.561841400703585, -92.55979963867104), (34.55086878403206, -92.57568110744717), (34.55086878403206, -92.59641289255283), (34.561841400703585, -92.61229436132895), (34.57865242475897, -92.61589439803232), (34.59343579120898, -92.6055285054795), (34.599274198592845, -92.586047)]
244	small_airport	Lanham Field	43.877015	-116.538365	0	[(43.926925397185684, -116.538365), (43.91524858241795, -116.4938582237084), (43.88568184951793, -116.47017666268138), (43.852059801407165, -116.47840118251467), (43.830114568064126, -116.51468343897298), (43.830114568064126, -116.56204656102702), (43.852059801407165, -116.59832881748532), (43.88568184951793, -116.60655333731862), (43.91524858241795, -116.5828717762916), (43.926925397185684, -116.538365)]
264	heliport	Teufel Heliport	45.530833	-123.085556	0	[(45.55578819859284, -123.08555599999998), (45.54994979120898, -123.06265762412994), (45.53516642475897, -123.05047365281658), (45.518355400703584, -123.0547051016472), (45.50738278403206, -123.07337202868662), (45.50738278403206, -123.09773997131336), (45.518355400703584, -123.11640689835278), (45.53516642475897, -123.1206383471834), (45.54994979120898, -123.10845437587004), (45.55578819859284, -123.08555599999998)]
265	heliport	Stillwater Medical Center Heliport	36.1152992249	-97.079498291	0	[(36.14025442349284, -97.079498291), (36.13441601610898, -97.0596415856549), (36.11963264965897, -97.04907605342349), (36.10282162560358, -97.05274542425961), (36.091849008932066, -97.06893275876858), (36.091849008932066, -97.09006382323142), (36.10282162560358, -97.10625115774037), (36.11963264965897, -97.1099205285765), (36.13441601610898, -97.09935499634508), (36.14025442349284, -97.079498291)]
267	heliport	S & C Distribution Center Heliport	39.87929916379999	-75.2287979126	0	[(39.904254362392834, -75.2287979126), (39.89841595500897, -75.2078949178505), (39.88363258855896, -75.19677266665519), (39.866821564503574, -75.20063538395843), (39.85584894783205, -75.2176756614047), (39.85584894783205, -75.23992016379532), (39.866821564503574, -75.25696044124159), (39.88363258855896, -75.26082315854482), (39.89841595500897, -75.24970090734952), (39.904254362392834, -75.2287979126)]
270	heliport	Cheyenne River Health Center Heliport	44.993013	-101.24311	0	[(45.01796819859284, -101.24311), (45.01212979120898, -101.22042751821355), (44.997346424758966, -101.20835842174267), (44.98053540070358, -101.21254997495917), (44.96956278403206, -101.23104090352913), (44.96956278403206, -101.25517909647087), (44.98053540070358, -101.27367002504084), (44.997346424758966, -101.27786157825734), (45.01212979120898, -101.26579248178646), (45.01796819859284, -101.24311)]
271	heliport	Veterans Affairs Medical Center Heliport	29.699687	-95.39069	0	[(29.72464219859284, -95.39069000000002), (29.718803791208977, -95.37222320228022), (29.704020424758966, -95.36239722444913), (29.68720940070358, -95.36580975073745), (29.67623678403206, -95.38086402216891), (29.67623678403206, -95.40051597783112), (29.68720940070358, -95.41557024926257), (29.704020424758966, -95.4189827755509), (29.718803791208977, -95.4091567977198), (29.72464219859284, -95.39069000000002)]
285	heliport	West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport	39.6536111111	-79.9561111111	0	[(39.67856630969284, -79.9561111111), (39.67272790230898, -79.93527652320206), (39.65794453585897, -79.92419067053221), (39.64113351180358, -79.92804074676022), (39.63016089513206, -79.94502525843015), (39.63016089513206, -79.96719696376984), (39.64113351180358, -79.98418147543978), (39.65794453585897, -79.98803155166779), (39.67272790230898, -79.97694569899794), (39.67856630969284, -79.9561111111)]
291	heliport	Yuma Regional Medical Center Heliport	32.683452	-114.634346	0	[(32.708407198592845, -114.63434600000001), (32.702568791208975, -114.61528751642678), (32.687785424758964, -114.6051467091289), (32.67097440070358, -114.60866857454359), (32.66000178403206, -114.62420519270214), (32.66000178403206, -114.64448680729788), (32.67097440070358, -114.66002342545642), (32.687785424758964, -114.6635452908711), (32.702568791208975, -114.65340448357323), (32.708407198592845, -114.63434600000001)]
295	small_airport	Rancho de Aereo Airport	40.214984	-104.984423	0	[(40.26489439718568, -104.984423), (40.25321758241795, -104.94241063479437), (40.22365084951793, -104.92005632218388), (40.19002880140716, -104.92781989347951), (40.16808356806413, -104.96206868738952), (40.16808356806413, -105.0067773126105), (40.19002880140716, -105.0410261065205), (40.22365084951793, -105.04878967781613), (40.25321758241795, -105.02643536520564), (40.26489439718568, -104.984423)]
296	heliport	O And G Heliport	41.7737007141	-73.1162033081	0	[(41.798655912692844, -73.1162033081), (41.79281750530898, -73.09469448200484), (41.77803413885897, -73.08324987468357), (41.761223114803585, -73.08722454509447), (41.75025049813206, -73.10475870077873), (41.75025049813206, -73.12764791542126), (41.761223114803585, -73.14518207110551), (41.77803413885897, -73.14915674151642), (41.79281750530898, -73.13771213419516), (41.798655912692844, -73.1162033081)]
307	small_airport	High Point Farm Airport	38.187091	-84.93011	0	[(38.237001397185686, -84.93011), (38.225324582417954, -84.88929328261072), (38.19575784951793, -84.86757516091517), (38.16213580140716, -84.87511778542472), (38.14019056806413, -84.90839187830444), (38.14019056806413, -84.95182812169556), (38.16213580140716, -84.98510221457528), (38.19575784951793, -84.99264483908483), (38.225324582417954, -84.97092671738928), (38.237001397185686, -84.93011)]
316	heliport	Beaumont Hospital Taylor Heliport	42.236433	-83.276421	0	[(42.26138819859284, -83.276421), (42.25554979120898, -83.2547551654139), (42.24076642475896, -83.24322701561958), (42.22395540070358, -83.24723070002689), (42.21298278403206, -83.26489285020568), (42.21298278403206, -83.28794914979433), (42.22395540070358, -83.30561129997312), (42.24076642475896, -83.30961498438043), (42.25554979120898, -83.29808683458612), (42.26138819859284, -83.276421)]
317	heliport	Northern Pines Medical Center Heliport	47.5175001	-92.2302778	0	[(47.54245529859284, -92.2302778), (47.53661689120898, -92.20652635777421), (47.52183352475897, -92.19388847933375), (47.50502250070358, -92.19827756845527), (47.49404988403206, -92.21763992155954), (47.49404988403206, -92.24291567844045), (47.50502250070358, -92.26227803154472), (47.52183352475897, -92.26666712066626), (47.53661689120898, -92.25402924222578), (47.54245529859284, -92.2302778)]
